Participant identifier 	 Record number 	 Wt_Covid_Final 	
brbsrxgxe7ahc0k1 	 13581 	 1.6145329469 	
ar9kz6c6sbfqhmsm 	 13582 	 1.6145329469 	
6xavyskqcdevz3ds 	 13598 	 1.6145329469 	
k5jk6whnv1j5q0rp 	 13604 	 1.6145329469 	
sh0zzg1j5f6qsg3v 	 13642 	 1.6145329469 	
vdjchgav7mt5gg8u 	 13764 	 1.6145329469 	
5px9entxugak2fmf 	 14052 	 1.6145329469 	
v9nha6f96t2n66sf 	 14089 	 1.6145329469 	
x03njkf6q0cyaf4s 	 14095 	 1.6145329469 	
w5q74jyx9gvn8syv 	 14158 	 1.6145329469 	
ddjf9rnnq2cday5h 	 12075 	 1.8929697703 	
nqgz2cj69gg1u9tq 	 13583 	 1.8929697703 	
7uwwvjz5nmp1bsut 	 13617 	 1.8929697703 	
ymspu74nnxsy5u4u 	 13665 	 1.8929697703 	
dw0jhcpc9dhh5zqd 	 13724 	 1.8929697703 	
hbedtp6rmgu4vyt6 	 14050 	 1.8929697703 	
0j3w85xj0v62demt 	 14066 	 1.8929697703 	
07dx80vjcm3e0tgn 	 14138 	 1.8929697703 	
b6herrpspbvzambk 	 14300 	 1.8929697703 	
xwdw8tja7cumz517 	 13615 	 2.0714315668 	
msqt49demnbbqnqu 	 13789 	 2.0714315668 	
6us1njcpmy94xn3f 	 14085 	 2.0714315668 	
6b7vbrtu7ezfjqm1 	 14133 	 2.0714315668 	
70tdny1b70ca2jcy 	 14157 	 2.0714315668 	
96eypzr2ybyzqm4w 	 14167 	 2.0714315668 	
67fm1nnuuc7b7dhq 	 12057 	 1.1477265274 	
7n1w0weg66qf45jw 	 12089 	 1.1477265274 	
tvb7fr4e3g231j6g 	 13677 	 1.1477265274 	
9eb5py47dn1xg9pq 	 13720 	 1.1477265274 	
3eavr0y0rzcr5f25 	 13841 	 1.1477265274 	
vbn15n8p9cghsjny 	 12077 	 1.5696848095 	
yk7ayzgz0bn9hygs 	 13607 	 1.5696848095 	
hzxuvqpfuwjhuayk 	 13623 	 1.5696848095 	
p3q0t1tnzdv68rqn 	 13643 	 1.5696848095 	
vcvs506e001q51v9 	 13761 	 1.5696848095 	
m5h0e9rb9jrv1p2d 	 13763 	 1.5696848095 	
5dd7kzmf45psse3z 	 13847 	 1.5696848095 	
qxzv3vwcxsqa4ep0 	 14140 	 1.5696848095 	
1q57gg525wus5hhv 	 14201 	 1.5696848095 	
1kt9sbqn8y5881zy 	 14216 	 1.5696848095 	
5w3jqeqv7qdgtdne 	 14240 	 1.5696848095 	
0yjt32mxyxa8mtx8 	 14289 	 1.5696848095 	
xa7j6739wabftjsa 	 12063 	 1.5380379384 	
bg27a5ue1z6r1j26 	 12067 	 1.5380379384 	
y8zh1572tk8atzqk 	 13656 	 1.5380379384 	
7zcu6gpj8jxyygj0 	 13845 	 1.5380379384 	
6s9a44parxqp046u 	 14058 	 1.5380379384 	
u556b2xqkes2e8xc 	 14060 	 1.5380379384 	
z8ns70pyjqg1py43 	 14064 	 1.5380379384 	
vs0kqb5djgqnvf7n 	 14080 	 1.5380379384 	
a5cajfucv3yy9nv3 	 12079 	 1.0357157834 	
hazun58wkq392bya 	 13594 	 1.0357157834 	
1euhzd10ktv9hu6d 	 13606 	 1.0357157834 	
mxcuchukhg7nkvty 	 13620 	 1.0357157834 	
5y3ecmxfdpx2byv6 	 13772 	 1.0357157834 	
v285h5c9by0ufpyb 	 14181 	 1.0357157834 	
u1pnyr6mvj2q5vde 	 13574 	 1.4756483924 	
sn0b5k9w0jgtw1pb 	 13584 	 1.4756483924 	
ab2u33gs3kfqv7m8 	 13680 	 1.4756483924 	
mxtuu53t0s5gn1jp 	 13788 	 1.4756483924 	
kxpzw4hu3sqnf4tc 	 13852 	 1.4756483924 	
jx7827xkqph5j9za 	 13853 	 1.4756483924 	
zed65jyxjgq5m8kp 	 13992 	 1.4756483924 	
n6257s09wdf25hbk 	 14005 	 1.4756483924 	
m9x1kntyjfzw1dfk 	 12087 	 1.8202573128 	
qxrc5mep29erq7rq 	 13586 	 1.8202573128 	
qryj38m03rng2w8e 	 13660 	 1.8202573128 	
2zsssj8r688d7kht 	 13661 	 1.8202573128 	
dkfr66bfs5hs4mhb 	 13664 	 1.8202573128 	
zcp3ws924gzywftx 	 13666 	 1.8202573128 	
9usu6xsp5tncv0d9 	 13706 	 1.8202573128 	
xjbjg2nqj51fnzuh 	 13756 	 1.8202573128 	
uxwaex5kf32pn9ke 	 13858 	 1.8202573128 	
2xn3z1sxw8zxj112 	 14003 	 1.8202573128 	
gncdkfwqn5gj9h03 	 14062 	 1.8202573128 	
bgpuj5zwm7p5sqz1 	 14128 	 1.8202573128 	
7zmb9fve2z7j014b 	 12053 	 2.1341726559 	
zx6z1xm2gakf77hh 	 12381 	 2.1341726559 	
cpk12qgcp10hbcb9 	 13602 	 2.1341726559 	
2e1p92sarz3a40f9 	 13709 	 2.1341726559 	
uqfau31cze4yvhe1 	 13776 	 2.1341726559 	
9ygy2qv0uc3khnrk 	 14054 	 2.1341726559 	
n097m6w5wqqmpkwk 	 14059 	 2.1341726559 	
0t4a4fjvhj1fdrw5 	 14073 	 2.1341726559 	
86kdvczxhhxuju05 	 14171 	 2.1341726559 	
4xs5g5fdb2k2pq8a 	 14172 	 2.1341726559 	
fx5jkxs70ya8bsgz 	 14173 	 2.1341726559 	
cj63ydstby7craf5 	 12070 	 2.3353741184 	
sjv246rbct9jffbq 	 12091 	 2.3353741184 	
yrdq58cdjb8xg62c 	 13681 	 2.3353741184 	
wq0qaq75mwk23v4j 	 13773 	 2.3353741184 	
8rqfjrcarbp0zzj7 	 13774 	 2.3353741184 	
ebdcpepxp969ahgt 	 13787 	 2.3353741184 	
r9hyd8m23k3pw895 	 13865 	 2.3353741184 	
jpd6rjmrat07zsqc 	 13870 	 2.3353741184 	
1rgfwsde2a5tjd2p 	 13596 	 1.2939702523 	
uyd626cy4maqgdy2 	 13610 	 1.2939702523 	
gwhqx7zb2z018y4n 	 13678 	 1.2939702523 	
2em3jcq4uyv18x7t 	 13703 	 1.2939702523 	
4wee2rbc9f3t2cg4 	 13844 	 1.2939702523 	
uzkc5wr4tywg216j 	 13854 	 1.2939702523 	
5ybpv50b0pvw1r9b 	 13995 	 1.2939702523 	
ktq8wc63rp8mtbyr 	 13998 	 1.2939702523 	
9h9u58pguudyvdt6 	 14001 	 1.2939702523 	
trss8pajp21twebz 	 14279 	 1.2939702523 	
fe4ar2uw17sq8xwn 	 12069 	 1.7696946097 	
2zw696zu42jhq80q 	 12081 	 1.7696946097 	
2kkr1zr7480dukmf 	 12083 	 1.7696946097 	
9qryxbry6n8a32a0 	 13622 	 1.7696946097 	
dcd80qz8ft3vg3gh 	 13644 	 1.7696946097 	
eubc5tsp6g4t2vq7 	 13684 	 1.7696946097 	
rs2dt4v4h2c86z4p 	 13753 	 1.7696946097 	
09v8hatw0r2r7v4p 	 13765 	 1.7696946097 	
4dgfbk1153en0cck 	 13851 	 1.7696946097 	
h4zbc2d19p199yt2 	 13861 	 1.7696946097 	
f6zmg0kqbw2y6zjd 	 13867 	 1.7696946097 	
8hd08z5yyzb3z6z7 	 14017 	 1.7696946097 	
tju9zft09fe4q6m7 	 14057 	 1.7696946097 	
yjmmpswf0zwwtx9t 	 14107 	 1.7696946097 	
q0qpe9hejhq93jc1 	 14160 	 1.7696946097 	
tfnw7vba55vr3ywj 	 14207 	 1.7696946097 	
0t0jjxjszw53kczw 	 14209 	 1.7696946097 	
jcz87p5jrv76jq3a 	 14317 	 1.7696946097 	
8z259nm5kecmx24a 	 12051 	 1.7340152829 	
gxfhm9pvdde21pn2 	 12058 	 1.7340152829 	
pptg8eucsnr7h6rd 	 12066 	 1.7340152829 	
abj9gd6m0x7efnrp 	 12071 	 1.7340152829 	
1v9z3527yunar5gz 	 13575 	 1.7340152829 	
bj2a4hczh4zqznnd 	 13624 	 1.7340152829 	
dyet2pk44cpxnf4s 	 13663 	 1.7340152829 	
2teqf9ynwv51q01e 	 13704 	 1.7340152829 	
hg7xmwjksnw6xgdn 	 13716 	 1.7340152829 	
gy6umr5yme4eeryu 	 13717 	 1.7340152829 	
w7acx6y4xkrdage7 	 14053 	 1.7340152829 	
m1n4v3vxharqcrq2 	 14071 	 1.7340152829 	
jf7ft5tdyqkj5011 	 14072 	 1.7340152829 	
fzdtv3ckpvwzqw2a 	 14086 	 1.7340152829 	
v9b4df1841a9wxxj 	 14130 	 1.7340152829 	
2xzng9j3v8sxx5qs 	 14135 	 1.7340152829 	
5y3tnchste6379b4 	 14137 	 1.7340152829 	
007gphbzjdp7e844 	 14189 	 1.7340152829 	
gmtnsnqy0pq6035f 	 14318 	 1.7340152829 	
1t0zs8sezxcffr6n 	 12054 	 1.1676870592 	
8g5rmeewnw241jru 	 13599 	 1.1676870592 	
ws59xgjmxan2exqx 	 13685 	 1.1676870592 	
m091p2z9pcmse9gn 	 13688 	 1.1676870592 	
cjztv7gu2kgw99av 	 13689 	 1.1676870592 	
agsvks34hf8cdaqt 	 13692 	 1.1676870592 	
x4s3b7dq5wrfcde3 	 13767 	 1.1676870592 	
